"あいかわらず";"aikawarazu";"seperti biasanya; seperti sebelumnya; seperti biasa; tetap"
"副詞";"fukushi";"kata keterangan"
"複写";"fukusha";"penyalinan; duplikasi; reproduksi"
"複数";"fukusuu";"jamak; banyak; beberapa"
"含める";"fukumeru";"untuk memasukkan (dalam kelompok atau ruang lingkup), untuk mengajar; untuk membuat seseorang mengerti, untuk memasukkan (nuansa); untuk memasukkan (implikasi), memasukkan ke dalam mulut (seseorang), untuk meresap dengan rasa"
"ふくらます";"fukuramasu";"membengkak; memperluas; untuk mengembang"
"ふくらむ";"fukuramu";"memperluas; membengkak (keluar); untuk menjadi besar; menjadi meningkat"
"ふけつ";"fuketsu";"najis; kotor; tidak sehat, tidak senonoh; kotor (cerita, uang, dll); cabul; asusila"
"更ける";"fukeru";"terlambat; untuk memajukan; untuk dipakai"
"符号";"fugou";"tanda; simbol; kode, tanda (misalnya positif, negatif)"
"夫妻";"fusai";"suami dan istri; pasangan yang sudah menikah"
"ふさがる";"fusagaru";"akan ditutup; untuk diblokir; untuk disembuhkan (misalnya luka); untuk ditutup, untuk tersumbat; untuk dipasang, untuk ditempati; yang akan diambil (misalnya akomodasi)"
"ふさぐ";"fusagu";"untuk berhenti; untuk menutup; untuk memblokir (naik); untuk menyambungkan; untuk diam; untuk menutupi (telinga, mata, dll.); untuk menutup (mata, mulut), menghalangi; untuk menghalangi, untuk menduduki; untuk mengisi; untuk mengambil, untuk melakukan peran seseorang; untuk melakukan tugasnya, merasa tertekan; menjadi tidak bersemangat; untuk murung ; batang bunga, cabang tanaman ; berhenti, menghalangi"
"ふざける";"fuzakeru";"bercanda; untuk anak; untuk bercanda, untuk diolok-olok; untuk ditertawakan; untuk bercanda, bermain-main; untuk berjudi; untuk bermain-main; untuk menggeledah; untuk main-main; untuk mengencangkan, ke leher; untuk melihat"
"ふすま";"fusuma";"fusuma; Layar geser Jepang ; dedak gandum ; selimut; seperai"
"ふぞく";"fuzoku";"terlampir; milik; termasuk; diselubungi; berafiliasi; dianeksasi; terkait; bawahan; insidentil; bergantung; bantu ; perdukunan Korea"
"ふた";"futa";"menutupi; tutup; topi ; dua; 2"
"不通";"futsuu";"penangguhan; gangguan; penghentian; mengikat"
"船便";"funabin ; senbin";"surat permukaan (kapal); layanan surat laut, feri; layanan kapal uap"
"吹雪";"fubuki";"badai salju"
"父母";"fubo ; chichihaha ; tetehaha ; kazoiroha ; bumo";"ayah dan ibu; orang tua"
"ふみきり";"fumikiri";"perlintasan kereta api; perlintasan sebidang, garis start; gores, tekad, melangkahi tepi ring"
"ふもと";"fumoto";"kaki (gunung atau bukit); dasar; basis"
"ふやす";"fuyasu";"meningkatkan; untuk menambahkan; untuk menambah"
"増やす";"fuyasu";"meningkatkan; untuk menambahkan; untuk menambah"
"ふりがな";"furigana";"furigana; kana di atas atau di samping kanji untuk menunjukkan pengucapan"
"ふるまう";"furumau";"berperilaku; untuk bertingkah laku, untuk menghibur; untuk mentraktir seseorang (minum); untuk membuatkan teh untuk seseorang (upacara minum teh)"
"ふろしき";"furoshiki";"kain pembungkus; pembungkus kain"
"ふわふわ";"fuwafuwa";"ringan (mengambang, melayang, dll); ringan, lembut; empuk; kenyal, goyah; bertingkah; berubah-ubah; sembrono"
"ふんか";"funka";"letusan; erupsi vulkanik"
"ふんすい";"funsui";"air mancur"
"ぶさた";"busata";"tidak menulis atau menghubungi untuk sementara waktu; lalai menulis (menelepon, berkunjung, dll); gagal menulis (menelepon, mengunjungi, dll); keheningan yang lama"
"ぶし";"bushi";"pejuang; samurai ; akar aconite kering ; jurnal klub; buku catatan klub ; cara berbicara yang khas"
"部首";"bushu";"radikal (dari karakter kanji)"
"ぶっそう";"bussou";"berbahaya; gelisah; bermasalah; terganggu; merasa tidak aman ; Pendeta Buddha ; pemakaman Budha"
"ぶつかる";"butsukaru";"untuk menyerang; untuk bertabrakan; untuk bertemu; berkonflik, bertemu, berbenturan"
"ぶつける";"butsukeru";"untuk memukul (misalnya kepala seseorang); untuk menyerang; menabrak, melempar (misalnya bola, pertanyaan, tuntutan), mengekspresikan; untuk melampiaskan (misalnya kemarahan seseorang)"
"ぶつぶつ";"butsubutsu";"mendengus; ngomel; keluhan; bergumam, jerawat; bintik-bintik; letusan; ruam, potong kecil-kecil, direbus"
"部品";"buhin";"bagian; aksesoris; komponen"
"ぶらさげる";"burasageru";"untuk menggantung; untuk menangguhkan; untuk menjuntai; untuk berayun; membawa"
"分解";"bunkai";"membongkar; pembongkaran; memilah; analisis; hancur; membusuk; degradasi, faktorisasi, dekomposisi; resolusi, pemblokiran"
"ぶんけん";"bunken";"desentralisasi kewenangan ; literatur; buku (referensi); dokumen ; informasi; pengalaman; pengetahuan; pengamatan ; detasemen; detail"
"文芸";"bungei";"sastra, seni; seni dan sastra; seni liberal"
"分数";"bunsuu";"pecahan"
"文体";"buntai";"gaya sastra, bentuk bahasa (tertulis) (misalnya klasik, modern)"
"分布";"bunpu";"distribusi; alokasi"
"ぶんぼうぐ";"bunbougu";"alat tulis"
"ぶんみゃく";"bunmyaku";"konteks (dari suatu bagian); alur pemikiran, konteks; lingkungan; keadaan ; cabang; anak sungai; garpu; percabangan (misalnya saraf, pembuluh darah, vena bijih, dll.)"
"分量";"bunryou";"jumlah; kuantitas"
"分類";"bunrui";"klasifikasi; kategorisasi; penyortiran"
"閉会";"heikai";"penutupan (upacara, acara, pertemuan, dll.)"
"平気";"heiki";"kesejukan; ketenangan; tidak peduli, baiklah; Bagus; OKE"
"並行";"heikou";"berjalan berdampingan; berjalan sejajar, berjalan secara bersamaan; terjadi pada saat yang bersamaan; mengimbangi"
"平日";"heijitsu ; hirabi";"hari kerja; hari biasa (yaitu bukan hari libur), kanji radikal 73"
"へいたい";"heitai";"tentara; pelaut ; lapangan tertutup"
"へいぼん";"heibon";"biasa; umum; biasa-biasa saja; tidak terbedakan; lancar"
"平野";"heiya";"polos; lapangan terbuka"
"へこむ";"hekomu";"menjadi penyok; untuk diindentasi; untuk menghasilkan; memberi; tenggelam; runtuh; menyerah, untuk dipukuli; menjadi kewalahan; untuk menghasilkan; untuk menyerah; menyerah, menjadi kecil hati; merasa sedih; merasa tertekan, menderita kerugian; untuk kalah"
"へそ";"heso";"pusar, tonjolan atau cekungan di tengah-tengah objek, pusat; tengah; bagian terpenting; Titik utama ; gelendong; kumparan"
"へだてる";"hedateru";"untuk memisahkan (berdasarkan jarak, waktu, dll.); untuk mengisolasi; untuk mempartisi; untuk membagi, untuk menyisipkan; memiliki antara, untuk mengasingkan; menjadi aneh"
"へる";"heru";"melewati; berlalu; untuk lewat, melewati; untuk melalui, mengalami; untuk melewati; untuk menjalani ; untuk mengurangi (dalam ukuran atau jumlah); untuk mengurangi; untuk mereda ; mengkonsumsi, menghabiskan; pemborosan"
"編集";"henshuu";"penyuntingan; kompilasi"
"べっそう";"bessou";"rumah liburan; vila, penjara ; surat terpisah; pengiriman terpisah"
"べつべつ";"betsubetsu";"memisahkan; masing-masing"
"便所";"benjo ; binsho";"toilet; WC; lemari air; kamar kecil; kamar mandi ; kamar penata rambut di kediaman shogun atau bangsawan"
"方角";"hougaku";"arah; jalan, titik kompas; arah mata angin; bantalan, metode; cara; mendekati"
"ほうき";"houki";"pengabaian; penolakan; pengunduran diri; turun tahta (tanggung jawab, kanan) ; undang undang Undang; peraturan perundang-undangan ; sapu ; pemberontakan; memberontak ; barang atau kapal berharga; individu yang luar biasa ; aroma harum ; Era Hoki (770.10.1-781.1.1) ; Hōki (bekas provinsi yang terletak di bagian tengah dan barat Prefektur Tottori saat ini) ; sapu lidi; komet ; desa, dusun; vila; nama belakang ; usia seorang wanita muda yang berada pada puncak daya tarik (seksual); usia menikah (seorang wanita muda); enam belas manis"
"方言";"hougen";"dialek; daerahisme"
"方針";"houshin";"kebijakan; kursus; rencana (tindakan); Prinsip, jarum magnet"
"包装";"housou";"sedang mengemas; pembungkus"
"法則";"housoku";"hukum; aturan"
"包帯";"houtai";"perban; berpakaian"
"ほうちょう";"houchou";"pisau dapur; pisau ukir, memasak; makanan ; membebaskan seekor burung; burung untuk dibebaskan ; kunjungan ke Korea Utara"
"方程式";"houteishiki";"persamaan; rumus, metode penyelesaian suatu masalah; menetapkan cara untuk mencapai hasil tertentu"
"方面";"houmen";"arah; daerah; bidang, bidang (misalnya studi); bola; seperempat; aspek; sudut"
"放る";"houru ; horu ; hiru ; maru ; hanaru";"untuk melempar; untuk melemparkan; untuk membuang, mengabaikan; untuk meninggalkan; untuk pergi sendirian; untuk menyerah; untuk tidak menyelesaikannya; untuk meninggalkan yang belum selesai ; untuk mengusir (dari tubuh); untuk mengeluarkan; untuk buang air besar; Melahirkan ; untuk mengeluarkan (feses, urin) ; untuk mendapatkan gratis; untuk dibebaskan; untuk dilepaskan"
"ほがらか";"hogaraka";"ceria; cerah; merdu, cerah (langit, siang, dll.); Bagus; jernih"
"ほけん";"hoken";"pelestarian kesehatan; kebersihan ; Pertanggungan; menjamin"
"干す";"hosu";"ke udara; kering; mengeringkan, mengeringkan (mematikan), minum, menghilangkan peran, pekerjaan, dll."
"北極";"hokkyoku";"Kutub Utara, Arktik"
"ほどく";"hodoku";"untuk membatalkan; untuk melepaskan; untuk membuka; untuk melepaskan ikatan; untuk mengungkap; untuk melonggarkan; untuk membongkar"
"ほり";"hori";"parit; fosse, kanal; parit ; ukiran, fitur yang dipahat ; parit kering ; polisi"
"掘る";"horu";"untuk menggali; untuk melubangi, menyelidiki, menggali (misalnya sayuran), (untuk dua pria) melakukan seks anal"
"ほる";"horu";"untuk menggali; untuk melubangi, menyelidiki, menggali (misalnya sayuran), (untuk dua pria) melakukan seks anal ; mengukir; untuk mengukir; untuk memahat, menato ; untuk melempar; untuk melemparkan; untuk membuang, mengabaikan; untuk meninggalkan; untuk pergi sendirian; untuk menyerah; untuk tidak menyelesaikannya; untuk meninggalkan yang belum selesai"
"本部";"honbu";"markas besar; kantor pusat"
"本来";"honrai";"semula; terutama, pada dasarnya; secara intrinsik; tentu saja; secara alami; dalam (dan dari) dirinya sendiri, tepat; sah; hukum; normal"
"ぼうえんきょう";"bouenkyou";"teleskop"
"ぼうさん";"bousan";"pendeta Buddha; biksu, nak"
"防止";"boushi";"pencegahan; memeriksa"
"ぼうだい";"boudai";"sangat besar; luas; kolosal; besar, pembengkakan; ekspansi ; subtitle (misalnya buku)"
"防犯";"bouhan";"pencegahan kejahatan, keamanan (perangkat, kamera, dll.)"
"ぼうや";"bouya";"anak laki-laki; putra; anak, laki-laki biasa; teruna; orang yg belum berpengalaman"
"ぼくじょう";"bokujou";"pertanian (ternak); peternakan stok; peternakan; stasiun, padang rumput; lahan penggembalaan ; tempat pertemuan para kaligrafer dan pelukis"
"ぼくちく";"bokuchiku";"peternakan; peternakan sapi"
"募集";"boshuu";"pengerahan; undangan; pilihan; iklan; menerima lamaran, penggalangan (dana, donasi, dll.); koleksi; berlangganan; ajakan, flotasi (saham, pinjaman, dll.)"
"ぼっちゃん";"bocchan";"anak laki-laki (orang lain); anak laki-laki; tuan muda, pemuda berkulit hijau dari keluarga kaya; pemuda yang tidak bersalah terhadap cara-cara dunia"
"ぼろ";"boro";"kain perca ; lap; membatalkan; pakaian compang-camping, kesalahan (khususnya dalam kepura-puraan, kepura-puraan); cacat, rusak; lusuh; bermutu rendah"
"ぼん";"bon";"nampan, keluarga; rumah tangga, O-Bon; Festival Bon; Festival Lentera; Festival Orang Mati, sarang penjudi ; bonze; biksu, tempat tinggal biksu, anak laki-laki; putra; nak, aku, orang kecil, yang... ; Brahman; realitas tertinggi alam semesta (dalam agama Hindu), Brahma; Dewa pencipta Hindu, Sansekerta ; biasa; umum; biasa-biasa saja"
"ぼんち";"bonchi";"cekungan (misalnya di antara pegunungan) ; pria muda; anak laki-laki"
"まあまあ";"maamaa";"biasa saja; lumayan, sekarang, sekarang, wah, wah"
"枚数";"maisuu";"jumlah benda datar, perbedaan menang-kalah yang mempengaruhi peringkat pegulat"
"毎度";"maido";"setiap kali; selalu; sering, terima kasih atas dukungan Anda yang berkelanjutan"
"まく";"maku";"untuk menabur; menanam; menabur, menabur (benih; misalnya konflik), menaburkan (bubuk emas atau perak pada peralatan pernis) ; angin; untuk menggulung; untuk berguling; untuk memakai (misalnya sorban, syal), ke amplop; untuk menyelubungi, untuk mengepung; untuk rok, untuk menghubungkan (ayat), untuk bergerak maju (tiga jam, dll.); untuk naik ; untuk menyebar; untuk memercikkan; menabur, membagikan (selebaran, dll.); untuk menyebarkan (rumor, dll.), untuk memberikan kesalahan; untuk membuang; untuk melepaskan diri; untuk kalah ; tirai; bunting, aksi (sedang bermain) ; selaput; film ; membungkus"
"巻く";"maku";"angin; untuk menggulung; untuk berguling; untuk memakai (misalnya sorban, syal), ke amplop; untuk menyelubungi, untuk mengepung; untuk rok, untuk menghubungkan (ayat), untuk bergerak maju (tiga jam, dll.); untuk naik"
"まくら";"makura";"bantal; mendukung, pengantar (misalnya cerita rakugo); mengalirkan"
"曲げる";"mageru";"untuk membungkuk; untuk penjahat; untuk melengkung; untuk meringkuk, bersandar; untuk memiringkan; untuk condong; miring, membungkuk (kebenaran); memutarbalikkan; untuk memutar; untuk memutarbalikkan, untuk menghasilkan (satu poin); untuk berangkat (dari suatu prinsip); untuk mengabaikan (apa yang sebenarnya dipikirkan), untuk menggadaikan"
"まごまご";"magomago";"bingung; resah"
"まさつ";"masatsu";"gesekan; gosokan, perselisihan; gesekan; konflik"
"混ざる";"mazaru";"untuk dicampur; untuk dicampur dengan; untuk bergaul dengan; untuk berbaur dengan; bergabung"
"交ざる";"mazaru";"untuk dicampur; untuk dicampur dengan; untuk bergaul dengan; untuk berbaur dengan; bergabung"
"混じる";"majiru ; konjiru";"untuk dicampur; untuk dicampur dengan; untuk digabungkan, untuk diasosiasikan dengan; untuk berbaur dengan; menarik; bergabung ; untuk dicampur dengan; untuk berbaur dengan"
"交じる";"majiru";"untuk dicampur; untuk dicampur dengan; untuk digabungkan, untuk diasosiasikan dengan; untuk berbaur dengan; menarik; bergabung"
"混ぜる";"mazeru";"untuk mencampur; aduk; untuk berbaur"
"交ぜる";"mazeru";"untuk mencampur; aduk; untuk berbaur"
"またぐ";"matagu";"untuk melangkahi; untuk melangkah menyeberang; untuk melangkah; untuk menyeberang, untuk meregangkan; untuk menjangkau; menjembatani; untuk pelana; untuk mengangkang"
"または";"mataha";"atau; baik... atau..."
"まちあいしつ";"machiaishitsu";"ruang tunggu"
"まちあわせる";"machiawaseru";"untuk bertemu; bertemu di tempat dan waktu yang telah ditentukan sebelumnya; untuk mengatur pertemuan"
"まちかど";"machikado";"sudut jalan"
"真っ暗";"makkura";"kegelapan total; gelap gulita, masa depan suram; prospek yang buruk"
"真っ黒";"makkuro";"gelap gulita"
"真っ青";"massao";"biru tua; biru cerah, sangat pucat; kusam; putih seperti lembaran"
"真っ先";"massaki";"kepala; yang paling utama; awal; paling depan"
"まっしろ";"masshiro";"putih bersih, kosong (misalnya pikiran, kertas)"
"祭る";"matsuru";"untuk mendewakan; untuk mengabadikan, untuk berdoa; untuk menyembah"
"まとまる";"matomaru";"untuk menemukan resolusi; harus diselesaikan; untuk disepakati; untuk diselesaikan, untuk dikumpulkan; untuk dirakit; untuk dipertemukan, untuk diatur dengan baik; untuk menjadi teratur; untuk bersatu; untuk mengambil bentuk; menjadi koheren"
"まとめる";"matomeru";"untuk mengumpulkan; untuk menyatukan (semuanya); untuk mengintegrasikan; untuk mengkonsolidasikan; untuk menyatukan, untuk meringkas; untuk mengumpulkan, untuk mencapai suatu kesimpulan; untuk menyelesaikan; untuk menertibkan, mendirikan; untuk memutuskan"
"窓口";"madoguchi";"menangkal; jendela; jendela kasir; loket tiket, kontak orang; titik kontak"
"真似る";"maneru";"untuk meniru"
"まぶしい";"mabushii";"mempesona; berseri"
"まぶた";"mabuta";"kelopak mata"
"まもなく";"mamonaku";"segera; tak lama kemudian; dalam waktu singkat; sebentar lagi, tidak punya waktu untuk...; tanpa ada waktu untuk..."
"円い";"marui ; maroi";"bulat; bundar, melengkung; halus, harmonis; tenang; ramah; ramah tamah"
"まれ";"mare";"langka; jarang"
"回り道";"mawarimichi";"jalan memutar; pengalihan"
"満員";"man'in";"rumah penuh; Tidak Ada Kamar; terjual habis; hanya ruang berdiri; penuh orang; penuh sesak"
"満点";"manten";"nilai sempurna; nilai penuh, sangat; lumayan"
"見送る";"miokuru";"untuk mengantar seseorang pergi (di stasiun, bandara, dll.); untuk mengawal (misalnya pulang), mengikuti sesuatu dengan mata sampai tidak terlihat, membiarkannya lewat; untuk dilewatkan (kesempatan dll.); untuk membiarkan lemparan berlalu (bisbol); untuk menyaksikan bola yang dipukul masuk ke tribun, untuk disimpan (rencana, pembahasan rancangan undang-undang, dll.); untuk menunda, kematian seseorang yang terkait atau dekat dengan Anda; untuk menguburkan seseorang, untuk merawat seseorang sampai dia mati, untuk menunggu dan melihat; untuk melanjutkan (misalnya dalam konteks hukum)"
"見下ろす";"miorosu";"untuk mengabaikan; untuk memerintahkan pandangan; untuk memandang rendah, untuk meremehkan; untuk dipandang rendah"
"見掛け";"mikake";"penampilan luar, tampak"
"三日月";"mikaduki ; mikazuki";"bulan baru; bulan Sabit"
"みさき";"misaki";"tanjung (di pantai) ; pemimpin iring-iringan bangsawan, hewan pembawa pesan para dewa (yaitu rubah)"
"みじめ";"mijime";"menderita; malang; tidak bahagia; sedih; menyedihkan"
"店屋";"miseya";"toko"
"御手洗";"mitarashi";"kolam air pemurni ditempatkan di pintu masuk kuil"
"見出し";"midashi";"menuju; judul; keterangan, indeks, kata utama"
"道順";"michijun";"rute; jalan; kursus; petunjuk arah"
"見付ける";"mikkeru ; mitsukeru";"untuk menemukan; untuk menemukan (misalnya kesalahan dalam buku); untuk mendeteksi; untuk melihat, untuk menemukan; untuk menemukan (misalnya ada sesuatu yang hilang); untuk mencari kesalahan, untuk terbiasa melihat; untuk menjadi akrab dengan"
"みっともない";"mittomonai";"memalukan; tidak senonoh; tidak pantas; tidak tepat"
"見付かる";"mitsukaru";"untuk ditemukan"
"見直す";"minaosu";"melihat kembali, memeriksa kembali (kebijakan, perkiraan, rencana, dan lain-lain); untuk meninjau, untuk mendapatkan pendapat yang lebih baik tentang; untuk melihat secara lebih positif, untuk meningkatkan; untuk pulih (pasar, penyakit, dll.)"
"見慣れる";"minareru";"menjadi terbiasa melihat; untuk menjadi akrab dengan"
"みにくい";"minikui";"jelek; tidak menarik, tidak sedap dipandang; tidak pantas ; sulit dilihat, tidak jelas; kabur; tidak terbaca"
"実る";"minoru";"untuk menghasilkan buah; untuk matang"
"みぶん";"mibun";"kedudukan (sosial); status; posisi; pangkat, identitas; kelahiran; asal, keadaan seseorang; sarana seseorang"
"見本";"mihon";"Sampel; contoh; pola, model; contoh"
"見舞う";"mimau";"menanyakan setelahnya (kesehatan seseorang); mengunjungi, menyerang; untuk menyerang; menemui kemalangan; untuk menderita serangan"
"未満";"miman";"kurang dari; di bawah"
"名字";"myouji";"nama belakang; nama keluarga"
"みる";"miru";"untuk menjaga (seringkali secara medis); untuk mengurus ; untuk melihat; mengamati, memeriksa; untuk melihat; untuk menilai; untuk memeriksa; untuk menghakimi, untuk menjaga; untuk menghadiri; untuk mengurus; untuk mengawasi, pengalaman; bertemu dengan (kemalangan, kesuksesan, dll.), mencoba...; untuk mencoba...; untuk memberi... mencoba, melihat (itu)...; untuk menemukan (itu)... ; untuk memeriksa (secara medis) ; rumput laut rusa (Codium rapuh); jari laut hijau; jari orang mati; jari-jari yang terasa; ganggang flanel bercabang; spons rumput laut; spons hijau; bulu hijau; pencuri tiram ; untuk berkeliling ; mengawasi, mengarahkan"
"民間";"minkan";"pribadi; non-pemerintah; tidak resmi; sipil, rakyat; populer"
"みんよう";"min'you";"lagu rakyat; lagu populer ; tarian rakyat"
"向う";"mukau";"untuk menghadapi, untuk menuju"
"むく";"muku";"untuk berbalik ke arah; untuk melihat (atas, bawah, dll.), menghadap (misalnya timur) (bangunan, jendela, dll.); untuk diwaspadai; ke depan (on), ke titik (panah, jarum kompas, dll.), yang sesuai; untuk menjadi layak untuk, menuju; untuk beralih ke (kepentingan, perasaan, dll.); cenderung (melakukan) ; mengupas; ke kulit; untuk mengupas; telanjang (misalnya taring); untuk membuka lebar (misalnya mata) ; Aphananthe oriental elm (Aphananthe aspera); mukutree ; untuk mengupas, menguliti; untuk mengeksploitasi ; murni; tidak bersalah; bersih; sangat rapi, murni; tidak tercampur; kimono panjang murni, yang terbuat dari kain berwarna polos yang sama ; rambut lebat, anjing berbulu lebat"
"むげん";"mugen";"ketakterbatasan; ketidakterbatasan; keabadian, tak terbatas ; anggota (atau kandidat) petahana tak terbatas, yang tidak terafiliasi dengan suatu partai ; tanpa henti; gencarnya, neraka Avici ; mimpi; fantasi; visi"
"むしあつい";"mushiatsui";"lembab; gerah"
"むじ";"muji";"polos; tidak tergambar; tanpa pola; padat (berwarna) ; jawaban satu karakter ("tidak") yang diberikan oleh Zhaozhou atas pertanyaan "Apakah seekor anjing memiliki sifat Buddha?"
"むじゅん";"mujun";"kontradiksi; ketidakkonsistenan"
"蒸す";"musu ; fukasu";"untuk mengukus (makanan, handuk, dll.), menjadi panas dan lembab; menjadi gerah ; untuk mengukus (makanan)"
"むすう";"musuu";"banyak sekali; tak terhitung; tak terhitung jumlahnya"
"むらさき";"murasaki";"ungu; violet, Lithospermum erythrorhizon (spesies gromwell), jenis kecap"
"群れ";"mure";"kelompok; kerumunan; kawanan; rombongan; sekolah; cluster (misalnya bintang); rumpun; paket (misalnya anjing)"
"めい";"mei";"keponakan perempuan ; prasasti; batu nisan, (produsen) terukir tanda tangan, motto; pepatah; aturan ; konter untuk orang (biasanya tempat duduk, reservasi, dan semacamnya), nama depan, terkenal; bagus, nama, kata benda ; kecerahan, ketajaman; wawasan; mata (untuk), penglihatan; visi, tahun ke-n di era Meiji (1868.9.8-1912.7.30) ; aliansi, bertujuan; liga; pembagian administratif di Mongolia dan Mongolia Dalam ; teh (khususnya dipetik terlambat) ; tangisan burung atau binatang; Bersuara ; menyihir, mempesona, tergila-gila ; gelap, lautan ; demi manis ; memesan; memerintah; keputusan, hidup, takdir"
"名作";"meisaku";"mahakarya"
"名刺";"meishi";"kartu bisnis"
"名詞";"meishi ; nakotoba";"kata benda"
"名所";"meisho ; nadokoro";"tempat terkenal, nama bagian (instrumen, dll.), nama dan alamat"
"迷信";"meishin";"takhyul; kepercayaan takhayul"
"命ずる";"meizuru";"untuk memesan; untuk memerintahkan, untuk menunjuk"
"名物";"meibutsu";"produk terkenal; produk khusus; spesialisasi"
"めいめい";"meimei";"penamaan; pembaptisan ; setiap; individu ; gelap; tak terlihat"
"目上";"meue";"unggul; atasan; senior"
"めぐまれる";"megumareru";"untuk diberkati; menjadi kaya; berlimpah"
"めぐる";"meguru";"berkeliling, kembali, mengepung, kekhawatiran (biasanya perselisihan) ; mengurutkan, cara, jenis, kategori"
"目指す";"mezasu";"untuk membidik (untuk, melakukan, menjadi); untuk mencoba; untuk mengawasi, untuk pergi ke arah; untuk menuju"
"目覚し";"mezamashi";"jam alarm, bangun; menjaga diri tetap terjaga, jenis permen yang diberikan kepada anak setelah ia bangun dari tidur siang"
"目下";"meshita ; mokka";"bawahan; lebih rendah; muda ; saat sekarang; Sekarang"
"目印";"mejirushi";"tandai (untuk identifikasi atau pengenalan cepat); tanda, tengara; panduan, merek dagang"
"目立つ";"medatsu";"menjadi mencolok; untuk menonjol"
"めちゃくちゃ";"mechakucha";"absurd; keterlaluan; tidak masuk akal; tidak koheren, ekstrim; bodoh; ceroboh; nakal, tidak teratur; kacau; bingung; berantakan, sangat; Sungguh; Jadi; super"
"めっきり";"mekkiri";"sungguh; tampak; sangat; cukup besar"
"めでたい";"medetai";"senang; menguntungkan; tepat; gembira, naif"
"めまい";"memai";"pusing; rasa pusing"
"目安";"meyasu";"kriteria; standar; ukuran; referensi; tujuan, perkiraan kasar; perkiraan"
"面積";"menseki";"ukuran persegi; ukuran (misalnya tanah); daerah; permukaan"
"面接";"mensetsu";"wawancara (misalnya untuk pekerjaan)"
"めんぜい";"menzei";"bebas pajak; pembebasan bea"
"めんどうくさい";"mendoukusai";"menyusahkan; melelahkan; repot-repot melakukannya"
"もうかる";"moukaru";"menjadi menguntungkan; untuk menghasilkan keuntungan"
"もうける";"moukeru";"untuk mempersiapkan; untuk menyediakan, untuk mengatur; untuk membangun; untuk meletakkan (aturan); untuk membuat (alasan) ; untuk mendapatkan keuntungan; mendapatkan; untuk mendapatkan; untuk memperoleh, memiliki (melahirkan, memperanakkan) seorang anak, mendapatkan sedikit keberuntungan"
"もうしわけない";"moushiwakenai";"Saya minta maaf; (itu) tidak bisa dimaafkan; Saya merasa menyesal; Saya merasa bersalah, terima kasih banyak (atas bantuannya, dll.)"
"木材";"mokuzai";"kayu"
"目次";"mokuji";"Daftar isi"
"もぐる";"moguru";"untuk menyelam (ke dalam atau di bawah air), untuk masuk ke bawah; untuk masuk ke; untuk merayap ke dalam; untuk merangkak ke bawah; untuk mengubur diri sendiri; untuk menggali ke dalam; untuk menggali diri sendiri; untuk meringkuk di bawah, untuk menyembunyikan diri (khususnya dari pemerintah); untuk menyembunyikan diri; untuk pergi ke bawah tanah"
"もしかしたら";"moshikashitara";"mungkin; barangkali; secara kebetulan; dengan banyak pilihan"
"もしかすると";"moshikasuruto";"mungkin; secara kebetulan"
"もたれる";"motareru";"untuk bersandar; bersandar pada; untuk berbaring, berbaring berat (tengkurap); menjadi tidak mudah dicerna"
"もち";"mochi";"mochi; kue beras (lengket). ; memiliki; memegang; menggunakan; pemegang; pemilik; pengguna, memakai; daya tahan; biaya hidup, ; biaya, undian (dalam perjalanan, lomba puisi, dll.); mengikat ; mochi (beras ketan atau biji-bijian lainnya, cukup lengket untuk membuat kue beras mochi) ; bulan purnama, hari ke-15 bulan lunar ; Tentu saja; untuk ya ; kapur burung, Nepal holly (Ilex integra)"
"もったいない";"mottainai";"boros; sia-sia, terlalu bagus; lebih dari yang layak diterima seseorang; tidak layak, tidak beriman; duniawi; asusila"
"もともと";"motomoto";"semula; secara alami; dari awal"
"物置";"monooki";"ruang penyimpanan; gudang; ruang kayu"
"物語る";"monogataru";"untuk menceritakan sebuah cerita); untuk memberikan penjelasan tentang (suatu peristiwa, pengalaman, dll.); untuk berhubungan; menceritakan, menceritakan; memperlihatkan; mengindikasikan; untuk membuktikan"
"物差し";"monosashi";"penggaris; ukuran"
"ものすごい";"monosugoi";"hebat; mengejutkan; luar biasa besar; menakjubkan; ekstrim, menakutkan; mengerikan; sangat buruk; buruk sekali; Seram"
"もむ";"momu";"untuk menggosok; meremas, memijat, berdebat; untuk melakukan diskusi hangat, untuk berlatih; untuk melatih, berdesak-desakan; untuk berkerumun; untuk mengguncang; untuk bergoyang, untuk mendapatkan berbagai pengalaman (di dunia luar)"
"燃やす";"moyasu";"untuk membakar, membakar dengan (emosi, perasaan); untuk bersemangat"
"もよおし";"moyooshi";"peristiwa; perayaan; fungsi; perkumpulan sosial; bantuan; pembukaan; mengadakan (pertemuan)"
"もる";"moru";"untuk menyajikan (dalam mangkuk, di piring, dll.); untuk menyajikan; untuk mengisi (mangkuk) dengan, menumpuk; untuk menumpuk; untuk mengisi, untuk mengelola (obat, racun); untuk mengeluarkan dosis; untuk menentukan, untuk dimasukkan ke dalam (misalnya informasi dalam laporan, artinya dalam pernyataan), untuk menandai (misalnya skala); untuk menyatakan (misalnya termometer), melebih-lebihkan; untuk mengaplikasikan riasan tebal ; bocor; untuk kehabisan"
"問答";"mondou";"pertanyaan dan jawaban; dialog"
