"愛";"ai ; mana";"Cinta; kasih sayang; perawatan, keterikatan; keinginan, agape, Irlandia ; kesayangan; Sayang"
"流れ";"nagare";"aliran (dari fluida atau gas); sungai kecil; arus, aliran (orang, benda); lorong waktu); gelombang pasang; lewat; (mengubah) tren; kecenderungan, jalannya (peristiwa); prosedur (langkah demi langkah); proses, sekelompok orang yang tetap bersama setelah berakhirnya suatu peristiwa, keturunan; sekolah, penyitaan, pembatalan, penghancuran; pengembaraan; jelajah"
"流れる";"nagareru";"untuk mengalirkan; mengalir (cairan, waktu, dll.); untuk menjalankan (tinta), untuk dihanyutkan; untuk dibawa, hanyut; untuk mengapung (misalnya awan); mengembara; menyimpang, menyapu (misalnya rumor, api); untuk menyebar; untuk beredar, untuk didengar (misalnya musik); untuk dimainkan, untuk jatuh (misalnya ke dalam kelambanan, putus asa), untuk lulus; berlalu; untuk ditransmisikan, untuk dibatalkan; menjadi hangus, menghilang; untuk dihapus"
"なし";"nashi";"tanpa, tidak dapat diterima; tidak baik-baik saja; tidak memuaskan ; nashi (Pyrus pyrifolia, khususnya var.culta); pir Jepang; pir Asia; pir pasir; pir apel ; hiks, tersedak, varian radikal surga bengkok (no.71)"
"なぜなら";"nazenara";"Karena; alasannya adalah; jika Anda ingin tahu alasannya"
"なぞ";"nazo";"teka-teki; membingungkan; misteri, penuh teka-teki; gaib ; dan sebagainya; dll.; dan sejenisnya; Dan seterusnya ; sesuatu, apa, mengapa; Bagaimana"
"なっとく";"nattoku";"izin; perjanjian; penerimaan, pemahaman; kepuasan (misalnya dengan penjelasan); diyakinkan"
"何か";"nanika ; nanka";"sesuatu; apapun, entah bagaimana; untuk beberapa alasan, (apakah ada) sesuatu (yang Anda inginkan, dll.)"
"なにも";"nanimo";"(bukan) apa pun; (tidak ada) sama sekali, dan yang lainnya; dan semua, (tidak) sama sekali; (sama sekali tidak; (tidak) khususnya; (tidak) sejauh itu"
"なべ";"nabe";"panci, rebusan; panci panas ; botol sake"
"生";"nama ; ubu ; sei ; shou ; iku ; fu ; namari ; ki";"mentah; segar, alami; apa adanya; yg belum diperiksa; tidak diproses, tidak dilindungi (seks), hidup (yaitu tidak dicatat), tidak berpengalaman; kasar; hijau, kurang ajar; rasa pedas, bir yang tidak dipasteurisasi; bir, kosong (misalnya disk); tidak terpakai, hanya sedikit; bagaimanapun; samar-samar; sebagian; agak; setengah-; semi-, tidak mencukupi; tidak lengkap; setengah matang; setengah hati; asal-asalan, uang tunai, tipis ; tidak bersalah; naif; sederhana; tidak berpengalaman; hijau; basah di belakang telinga, lahir- ; kehidupan; hidup, aku; Saya; diriku, siswa ; vital; jantan; hidup ; area yang tumbuh lebat (pohon, rumput, dll.) ; bonito rebus dan setengah kering ; murni; mentah"
"なまける";"namakeru";"menjadi menganggur; untuk mengendur, untuk mengabaikan (misalnya pekerjaan seseorang)"
"なみ";"nami";"gelombang, naik dan turun ; rata-rata; sedang; umum; biasa, kelas menengah (item); kelas reguler, tingkat yang sama dengan; sama dengan; setara dengan, setiap (misalnya bulan); setiap, deretan (gigi, rumah, dll); garis ; ombak ; gelombang besar"
"なみだ";"namida";"merobek; air mata; sekresi air mata, simpati ; air mata; menangis"
"なやむ";"nayamu";"menjadi khawatir; menjadi bermasalah"
"なる";"naru";"untuk menjadi; mendapatkan; untuk tumbuh; berbalik; untuk mencapai, menghasilkan; untuk berubah; untuk berakhir; untuk membuktikan (menjadi), terdiri dari; untuk terdiri dari, untuk diselesaikan; untuk direalisasikan; untuk berhasil; untuk dicapai, untuk berubah (menjadi); untuk mengubah (menjadi); untuk mengubah, untuk datang (melakukan); untuk memulai (melakukan); untuk tumbuh (melakukan), untuk mencapai; berjumlah; untuk menambahkan hingga; untuk membuat, memainkan (bagian dari); untuk bertindak sebagai, untuk digunakan; agar berguna untuk; untuk melayani sebagai, untuk dipromosikan, untuk melakukan... ; untuk menyuarakan; untuk menelepon; untuk bergema; mengaum; bergemuruh ; untuk menghasilkan buah ; itu ada pada, siapa yang dipanggil; itu disebut, itu, begitu"
"成る";"naru";"untuk menjadi; mendapatkan; untuk tumbuh; berbalik; untuk mencapai, menghasilkan; untuk berubah; untuk berakhir; untuk membuktikan (menjadi), terdiri dari; untuk terdiri dari, untuk diselesaikan; untuk direalisasikan; untuk berhasil; untuk dicapai, untuk berubah (menjadi); untuk mengubah (menjadi); untuk mengubah, untuk datang (melakukan); untuk memulai (melakukan); untuk tumbuh (melakukan), untuk mencapai; berjumlah; untuk menambahkan hingga; untuk membuat, memainkan (bagian dari); untuk bertindak sebagai, untuk digunakan; agar berguna untuk; untuk melayani sebagai, untuk dipromosikan, untuk melakukan..."
"なわ";"nawa";"tali, tali polisi ; memutar, membuat tali"
"何";"nan ; nani";"apa, berapa, banyak, beberapa ; apa, kamu-tahu-apa; benda itu, apa; apachamacallit; siapa namanya; siapa-namanya, (tidak) sama sekali; (tidak) sedikit pun, apa?; ya?, hei!, oh, tidak (tidak apa-apa); mengapa (bukan apa-apa); oh (tentu saja tidak)"
"何で";"nande";"Mengapa?; untuk apa?, bagaimana?; dengan apa yang berarti?"
"何でも";"nandemo";"setiap; apa pun; apapun yang disukai; semuanya; semua, saya diberitahu; saya mendengar; Saya mengerti; mereka bilang"
"何とか";"nantoka";"sesuatu; sesuatu atau lainnya; si anu, entah bagaimana; bagaimanapun; dengan satu atau lain cara"
"似合う";"niau";"sesuai; untuk mencocokkan; untuk menjadi; menjadi seperti"
"におい";"nioi";"bau; aroma; bau busuk, aura; bau; berbau...; nalar; rasa"
"苦手";"nigate";"miskin (di); lemah (dalam); tidak terlalu baik (dalam), tidak secangkir teh; bukan favorit seseorang"
"にぎる";"nigiru";"untuk menggenggam; untuk memahami; memegang, menahan (jawabannya); untuk memiliki (misalnya solusinya); menjadi kuncinya; menjadi alasan, untuk merebut (kekuasaan); untuk memegang (kendali); mendominasi; untuk mengontrol, membuat (nigirizushi, bola nasi, dll.); untuk membentuk (dengan tangan); untuk menekan ke dalam bentuk; untuk membentuk"
"日";"nichi ; ka";"Minggu, hari (dalam sebulan), penghitung hari, Jepang ; hari, matahari; cahaya matahari; sinar matahari, (hari); siang hari, tanggal; batas waktu, (yang lalu) hari; waktu (misalnya masa kecil seseorang), kasus (khususnya malang); peristiwa ; hari dalam sebulan, penghitung hari"
"日常";"nichijou";"setiap hari; sehari-hari; biasa; rutin; reguler"
"日曜";"nichiyou";"Minggu"
"日光";"nikkou";"sinar matahari; cahaya matahari, Nikkō (kota di Tochigi)"
"にっこり";"nikkori";"manis (tersenyum); lebar (menyeringai)"
"日中";"nicchuu ; hinaka";"siang hari, Jepang dan Cina"
"日本";"nihon ; nippon";"Jepang"
"入院";"nyuuin";"rawat inap"
"入学";"nyuugaku";"masuk ke sekolah atau universitas; matrikulasi; pendaftaran (di universitas, dll.) (pendaftaran)"
"入場";"nyuujou";"pintu masuk; penerimaan; memasuki"
"人気";"ninki ; jinki ; hitoge ; hitoke";"kepopuleran; kondisi, keuntungan publik (misalnya pasar); nada; karakter; alam ; suasana hati yang berlaku di suatu daerah; iklim emosional suatu distrik ; tanda kehidupan; kehadiran manusia, kemanusiaan"
"人間";"ningen ; jinkan";"manusia; orang; umat manusia; kemanusiaan, karakter (seseorang) ; Dunia"
"抜く";"nuku";"menarik; untuk menarik keluar; untuk mengekstrak; mencabut; untuk menyiangi, menghilangkan; untuk meninggalkan; untuk pergi tanpa; untuk melewati, melakukan sampai akhir; untuk membawa, untuk mengeluarkan (misalnya udara dari ban); untuk mengalirkan (misalnya air dari bak mandi); untuk mengosongkan, untuk memilih; memilih; untuk mengekstrak, untuk mencuri, untuk menghapus; untuk menyingkirkan; untuk mengambil, untuk lulus; untuk menyalip; untuk melampaui; untuk maju, untuk menembus; untuk menerobos; untuk melewati, untuk memotong (suatu bentuk); untuk membuat (suatu pola) dengan mematikan area sekitarnya, untuk direbut; untuk menangkap; untuk mengurangi, menyendok (cerita), mengambil (batu lawan; pergi), masturbasi (laki-laki); untuk ejakulasi (saat melakukan masturbasi), untuk mengambil (foto); untuk merekam (video)"
"抜ける";"nukeru";"untuk keluar; rontok; untuk dihilangkan; Menghilang; untuk melarikan diri; menjadi lepas, memudar; untuk mengubah warna, memakai lubang (misalnya pakaian), untuk pergi (misalnya rapat), agar bersih; menjadi transparan (misalnya langit), menjadi bodoh; menjadi linglung; menjadi ceroboh; menjadi lalai, untuk keluar (perulangan program), untuk dilalui; untuk melewati; untuk memberi jalan; untuk menutup, untuk menyelesaikan ronde dengan lebih dari 88 poin (tidak termasuk poin yang diperoleh dari kombinasi skor)"
"ぬの";"nuno";"kain, bujian (koin perunggu berbentuk sekop dari Tiongkok kuno)"
"ぬれる";"nureru";"untuk basah ; perlu, memerlukan, harus"
"ね";"ne";"akar (tanaman), akar (gigi, rambut, dll.); pusat (dari jerawat, dll.), akar (dari segala kejahatan, dll.); sumber; asal; menyebabkan; dasar, sifat asli seseorang, (memancing) karang ; Tikus (tanda pertama zodiak Cina), jam Tikus (sekitar tengah malam, 23.00 hingga 01.00, atau 12 tengah malam hingga 02.00), utara, bulan kesebelas kalender lunar ; suara; kebisingan; laporan, catatan, ketenaran, Pembacaan karakter turunan Cina ; tidur ; Kanan?; bukan?; bukan begitu?, hei; mengatakan; mendengarkan; Lihat; ayolah, kamu tahu; kamu melihat; Saya harus mengatakan; Saya harus berpikir, maukah Anda?; tolong, jadi,...; Sehat,...; kamu melihat,...; kamu mengerti?, Saya tidak yakin apakah...; Saya memiliki keraguan tentang apakah... ; harga; biaya, nilai; bernilai; kemampuan ; tidak ada; tidak berada (di sana); tidak memiliki, tidak ; akar, berdasarkan"
"願い";"negai";"menginginkan; mengharapkan; harapan, permintaan; permintaan yg sangat mendesak; permohonan; himbauan, doa, (tertulis) lamaran"
"願う";"negau";"menginginkan; berharap, mengemis; untuk meminta; untuk memohon; untuk berdoa, agar sesuatu dilakukan untuk diri sendiri"
"ねずみ";"nezumi";"mouse; tikus, abu-abu tua; Abu-abu gelap; batu tulis (warna, warna)"
"値段";"nedan";"harga; biaya"
"熱心";"nesshin";"tekun; antusias; bersemangat; kuat; suka; ingin sekali"
"ねったい";"nettai";"daerah tropis"
"熱中";"necchuu";"menjadi antusias tentang; bersikap liar; diserap; asyik; mengabdi pada"
"年間";"nenkan";"(periode) setahun, selama suatu era"
"年代";"nendai";"usia; zaman; periode; tanggal"
"年中";"nenchuu ; nendyuu ; nenjuu ; toshinaka";"sepanjang tahun, selalu; sepanjang waktu; selamanya, selama suatu era, kelas menengah (sekolah taman kanak-kanak, dll.) ; pertengahan tahun"
"ねんれい";"nenrei";"usia; bertahun-tahun ; salam Tahun Baru"
"野";"no ; ya ; nu";"polos; lapangan, anggota (struktural) tersembunyi, liar, tidak mempunyai jabatan politik"
"能";"nou";"bakat; hadiah; fungsi, noh (teater)"
"のうか";"nouka";"petani; keluarga petani, rumah pertanian ; kursus pertanian; departemen pertanian ; mengentalkan; konsentrat"
"のうぎょう";"nougyou";"pertanian"
"のうみん";"noumin";"petani"
"能力";"nouryoku ; nouriki";"kemampuan; fakultas ; pendeta berpangkat rendah yang melakukan pekerjaan kasar di kuil; pegawai kuil laki-laki"
"のき";"noki";"atap, lorong sempit yang mengelilingi inti bangunan candi ; untuk melihat ke atas ; atap, istana, kesopanan kekaisaran"
"残す";"nokosu";"meninggalkan (dibelakang), meninggalkan (dibatalkan); untuk tidak menyelesaikan, untuk menyimpan; untuk mengesampingkan; untuk memesan, untuk pergi (kepada seseorang, khususnya setelah kematian seseorang); untuk mewariskan, untuk tetap (di dalam ring); untuk bertahan"
"残り";"nokori";"sisa; residu; tersisa"
"乗せる";"noseru";"untuk menempatkan pada (sesuatu), untuk memberi (seseorang) tumpangan; untuk memberi tumpangan; untuk mengambil; untuk membantu di kapal, untuk memuat (bagasi); membawa; untuk mengambil kapal, untuk mengirimkan (melalui gelombang udara, dll.), untuk menipu; untuk mengambil tumpangan, untuk (bernyanyi) bersama dengan (iringan musik), untuk membiarkan (seseorang) mengambil bagian, untuk menggairahkan (seseorang), untuk menerbitkan (sebuah artikel); untuk menjalankan (sebuah iklan)"
"除く";"nozoku";"untuk menghapus; untuk menghilangkan; untuk memberantas, untuk mengecualikan; untuk kecuali"
"望み";"nozomi";"mengharapkan; menginginkan; harapan, prospek; ekspektasi; harapan (seseorang)."
"望む";"nozomu";"menginginkan, mengharapkan, melihat; untuk memerintahkan (pandangan)"
"のど";"nodo";"tenggorokan, suara nyanyian ; tenang; diam ; pemerah pipi, kosmetik ; turun, mendarat, tenggorokan, leher"
"のばす";"nobasu";"untuk memanjangkan (misalnya rambut, kuku), memanjangkan; untuk memperpanjang; untuk meregangkan, untuk menjangkau; untuk bertahan, untuk meluruskan; untuk menghaluskan, untuk menyebarkan secara merata (adonan, krim, dll.), untuk mengencerkan; menipis, menunda, memperpanjang, memperkuat; mengembangkan; memperluas"
"のびる";"nobiru";"untuk meregangkan; untuk memperpanjang; untuk menumbuhkan (rambut, tinggi badan, rumput, dll.), untuk meluruskan; untuk diratakan; menjadi halus, menyebar (cat, krim, dll.), merentangkan (misalnya tangan); untuk memperpanjang, kehilangan elastisitas; menjadi kendur; menjadi basah (misalnya mie), untuk membuat kemajuan; mengembangkan; memperluas; meningkatkan; untuk meningkatkan, menjadi lelah; menjadi grogi; pingsan; runtuh, berkepanjangan (pertemuan, masa hidup, dll.); untuk diperpanjang (misalnya tenggat waktu); untuk memperpanjang (misalnya hari), yang akan ditunda; tertunda; untuk ditunda ; rocambole liar (tanaman yang dapat dimakan, Allium greyi)"
"のべる";"noberu";"untuk menyatakan; untuk mengekspresikan; menyebutkan ; untuk meletakkan (kasur); untuk membuat (tempat tidur); untuk menyebar; untuk meregangkan; untuk memperluas, menunda; untuk memperpanjang ; tampil, kenakan; latihan"
"のぼる";"noboru";"untuk naik; naik; untuk mendaki, naik (sebagai proses alami, misalnya Matahari); naik, pergi ke (ibu kota), promosi, menjumlahkan, menaikkan (harga), berenang (sungai); untuk berlayar, untuk muncul (dalam agenda)"
"のんびり";"nonbiri";"di waktu senggang; dengan santai; dengan cara yang riang; diam-diam; dengan damai"
"はあ";"haa";"Ya; Memang; baiklah, ha!, apa?; ya?, menghela nafas"
"はい";"hai";"abu ; paru-paru ; kehilangan; kekalahan, penghitung kerugian ; cangkir sake; cangkir untuk minuman beralkohol, konter untuk cangkir penuh, semangkuk penuh, sesendok, dll., konter untuk perahu, konter untuk gurita dan cumi, cangkir (dalam olahraga); kejuaraan ; embrio; kuman (misalnya bibit gandum) ; kelompok; gang ; Ya; itu benar, dimengerti; Jadi begitu; OKE, sekarang; di sini, maaf?; apa itu?; datang lagi?, sekarang; Di Sini; ini dia, pusing; gidap ; akar teratai ; medali; tameng; lencana, kartu dengan tulisan dharani (dll.), papan pengumuman (di kuil Zen), ubin (mahjong, domino, dll.) ; anti- ; cocok, berpasangan; setara; mencampur ; aktor; pertunjukan vaudeville; bermuka dua ; membatalkan, mengakhiri, membuang ; memberi hormat, membungkuk, bersujud ; berjalan-jalan ; dorong terbuka ; bendera ; hujan lebat, rawa ; suara ombak ; untaian banyak mutiara ; penyakit kronis, menjadi lumpuh ; jenis sabuk oriental kuno, penghitung untuk pedang ; ikan kecil; lebih bersinar ; menundukkan kepala (dalam penghormatan atau ibadah), dengan hormat"
"配達";"haitatsu ; haidatsu";"pengiriman"
"はいゆう";"haiyuu";"aktor; aktris; pemain; penampil ; (haiku) sahabat puisi"
"はか";"haka";"kuburan; makam ; kemajuan ; kuburan, gundukan; tonjolan; menonjol ; usia 16 tahun (perempuan); proses menjadi remaja; pubertas, usia 64 tahun (pria), pecahnya selaput dara (saat berhubungan seks); pemetikan bunga; merendahkan ; mint (misalnya pepermin, spearmint, dll.), Pepermin Jepang (Mentha arvensis var. piperascens)"
"はかせ";"hakase";"pakar; orang terpelajar, dokter; PhD; Dr., instruktur di istana kekaisaran (periode ritsuryo), tanda nada dan panjang (untuk mengiringi nyanyian liturgi Buddha, dll.)"
"計る";"hakaru";"untuk mengukur; Menimbang; meninjau; ke waktu (suara, ukuran, perkiraan), untuk menduga; untuk menyimpulkan"
"はく";"haku";"memuntahkan; untuk muntah; meludah, memancarkan; untuk mengirimkan; menghembuskan nafas, memberikan (pendapat); untuk membuat (komentar); untuk mengekspresikan; untuk memberitahu, untuk mengaku ; menyapu; untuk menyikat; untuk membersihkan, mengumpulkan ulat sutera ; dokter; PhD, eksposisi; adil; pameran ; untuk mengenakan (pakaian tubuh bagian bawah, misalnya celana, rok, alas kaki); memakai, membubuhkan (pedang di pinggul), membubuhkan (tali busur ke busur) ; konter untuk malam menginap, menginap; penginapan ; menggagalkan; (emas, dll.) daun, prestise ; energi Yin; roh ; kalahkan, mora ; sutra ; ikan belanak belang putih, (Mugil cephalus), ucapan; garis seseorang, ubin naga putih, tangan pemenang dengan pung (atau kong) ubin naga putih, orang berkulit putih; Kaukasia, Belgia ; untuk memulaskan; untuk menyikat; untuk menyentuh ; amber ; ibu kota Tiongkok kuno ; untuk mengupas, menguliti; untuk mengeksploitasi ; merebut, menyerang ; lengan ; menghitung; earl, kepala pejabat Departemen Ibadah, kakak tertua, Brasil; Brazil ; ratus; 100"
"はくしゅ";"hakushu";"bertepuk tangan; tepuk tangan ; bertepuk tangan saat berdoa (di kuil)"
"はくぶつかん";"hakubutsukan";"museum"
"はげしい";"hageshii";"brutal; sangat marah; menggelora, ekstrim; intens; garang; kuat, bersemangat; keras, tak henti-hentinya; tanpa henti, terjal; curam"
"はさみ";"hasami";"gunting, pelubang kertas ; penjepit (kepiting, kalajengking, dll); cakar; tang ; engsel, gunting"
"破産";"hasan";"kebangkrutan; keadaan bangkrut"
"はし";"hashi";"menjembatani ; sumpit ; paruh; tagihan ; ujung (misalnya jalan); tip; titik; tepian; margin, awal; pertama, peluang dan akhir; membatalkan; sedikit aneh; paling sedikit ; tangga, tangga di depan panggung noh ; cantik; kesayangan; manis; menggemaskan ; terspesialisasi, terkonsentrasi"
"始まり";"hajimari";"asal; awal"
"外す";"hazusu";"untuk menghapus; untuk lepas landas; untuk melepaskan; untuk membuka; untuk membatalkan, untuk menjatuhkan (misalnya dari tim); untuk menghapus (dari suatu posisi); untuk mengecualikan; untuk mengusir, meninggalkan (misalnya tempat duduk seseorang); untuk pergi dari; untuk melangkah keluar; menyelinap pergi, menghindar (pertanyaan, pukulan, dsb.); untuk menghindari; untuk dihindari (misalnya musim puncak), untuk meleset (target, peluang, pukulan, dll.)"
"はた";"hata";"bendera, pataka (spanduk), spanduk (divisi administratif Mongolia Dalam) ; di dekat; menutup; di samping; sekitarnya; kedekatan; di samping itu; sementara, orang ketiga ; dua puluh; 20 ; ladang (untuk buah-buahan, sayuran, dll.); lahan pertanian; petak sayuran; kebun dapur; bidang perkebunan, (spesialisasi); bola; daerah, rahim; kelahiran; tempat lahir ; layang-layang ; ikan bass; ikan kerapu ; atau; jika tidak, selanjutnya; juga, mungkin; secara kebetulan, itulah yang dikatakan; bagaimanapun juga, ; tapi, belum lagi; tak perlu dikatakan, seperti yang diharapkan; tentu saja, sungguh; sama sekali ; counter untuk cupfuls, bowlfuls, sesendok, dll. ; akan, pergi ke, masa depan; umum ; kain wol ; mesin tenun ; sirip (misalnya ikan)"
"二十";"hata ; nijuu ; hatachi";"dua puluh; 20 ; 20 tahun, dua puluh"
"はたけ";"hatake";"ladang (untuk buah-buahan, sayuran, dll.); lahan pertanian; petak sayuran; kebun dapur; bidang perkebunan, (spesialisasi); bola; daerah, rahim; kelahiran; tempat lahir ; kebun, ladang yang ditanami ; letusan kudis"
"働き";"hataraki";"bekerja; tenaga kerja, prestasi; pertunjukan; kemampuan; bakat, gaji; penghasilan; pendapatan, tindakan; aktivitas; cara kerja; fungsi; operasi; pergerakan; gerak, konjugasi; infleksi"
"はだ";"hada";"kulit, tubuh (dalam konteks kontak tubuh yang intim), permukaan; biji-bijian (misalnya dari kayu); tekstur, disposisi; perangai; karakter; jenis"
"はだか";"hadaka";"ketelanjangan, ketelanjangan; kebotakan; terbongkar, tidak punya uang, tidak menyembunyikan apa pun; keterbukaan"
"発見";"hakken";"penemuan; deteksi; temuan"
"発行";"hakkou";"publikasi; penerbitan (jurnal, surat kabar, dll.), penerbitan (uang kertas, obligasi, paspor, dll.), mengungkapkan suatu acara (perangkat lunak)"
"発車";"hassha";"keberangkatan (kereta api, mobil, dll); mulai; meninggalkan"
"発達";"hattatsu";"perkembangan; pertumbuhan"
"はってん";"hatten";"perkembangan; pertumbuhan; ekspansi; perpanjangan; berkembang, perkembangan (situasi, cerita, dll.); kemajuan; berlangsung, bermain-main; memiliki kehidupan seks yang aktif"
"発表";"happyou";"pengumuman; publikasi; menyajikan; penyataan; pengumuman resmi; memberitahukan; berita terkini (berita); mengungkapkan (pendapat seseorang); melepaskan; pembukaan"
"発明";"hatsumei";"penemuan, cerdas; cerdik, masuk akal (tentang sesuatu); memahami"
"話し合う";"hanashiau";"mendiskusikan; untuk berbicara bersama"
"はなす";"hanasu";"untuk melepaskan; untuk membebaskan; menjadi longgar, untuk menambahkan (potongan terong, kentang, dll.) ke dalam air, kaldu, dll. ; untuk memisahkan; untuk berpisah; membagi; untuk tetap terpisah ; untuk berbicara; berbicara; ngobrol, mengatakan; untuk menjelaskan; untuk menceritakan; menyebutkan; untuk menggambarkan; berdiskusi, berbicara (bahasa)"
"放す";"hanasu";"untuk melepaskan; untuk membebaskan; menjadi longgar, untuk menambahkan (potongan terong, kentang, dll.) ke dalam air, kaldu, dll."
"はなれる";"hanareru";"untuk mendapatkan gratis (dari); untuk dibebaskan; untuk dilepaskan ; untuk dipisahkan; untuk berpisah; menjadi jauh, untuk pergi; pergi, pergi (pekerjaan, dll.); berhenti; menyerah, kehilangan koneksi dengan; untuk menjauh dari"
"はね";"hane";"bulu; bulu-bulu; bawah, sayap, bilah (kipas, baling-baling, dll.), shuttlecock (dalam bulu tangkis), shuttlecock (dalam hanetsuki), bulu panah ; sayap (serangga). ; surat, kuas tulis ; (a) melompat, cipratan (biasanya lumpur), berputar ke atas di bagian bawah (misalnya goresan vertikal kanji atau tatanan rambut), dekat (misalnya pertunjukan teater); putus ; counter untuk helm, dll."
"母親";"hahaoya";"ibu"
"はば";"haba";"lebar; keluasan, kebebasan (misalnya berpikir); garis lintang, celah; perbedaan (misalnya harga); jangkauan (misalnya suara)"
"はぶく";"habuku";"untuk menghilangkan; untuk meninggalkan; untuk mengecualikan, untuk membatasi; untuk menyimpan; untuk menebang; untuk menghemat"
"原";"hara ; gen ; bara";"bidang; polos; padang rumput; padang di kutub; tegalan; gurun ; asli; primitif; utama; mendasar; mentah ; diakhiri dengan kata-kata yang menunjukkan sekelompok orang untuk menciptakan bentuk jamak (khususnya dalam konteks tidak sopan)"
"腹";"hara";"perut, rahim, pikiran seseorang; niat sebenarnya seseorang; motif sejati, keberanian seseorang; saraf; kemauan, kemurahan hati, perasaan; emosi, bagian tengah yang lebar; bagian yang menonjol, di dalam; pedalaman; bagian dalam, anti simpul, penghitung untuk telur keras, penghitung untuk wadah dengan bagian tengah menonjol (pot, vas, dll.)"
"はり";"hari";"jarum; peniti, kail, penyengat; duri, tangan (misalnya jam, dll.); penunjuk, staple (untuk stapler), menjahit, kebencian, penghitung jahitan ; balok; balok silang ; Alder Jepang (Alnus japonica) ; menggeliat; ketegangan, ketahanan; kekenyalan; nada, kekuatan kemauan; memetik; kebanggaan ; kuarsa, kaca ; (akupunktur) jarum, akupunktur"
"はる";"haru";"musim semi, Tahun Baru, prima (kehidupan); tinggi badan (kemakmuran seseorang); masa kejayaan, masa remaja; pubertas, seksualitas; hasrat seksual ; untuk tetap; untuk menempelkan; untuk membubuhkan, untuk meregangkan; untuk menyebar; untuk menyaring; untuk mengencangkan; untuk memasang (tenda), untuk membentuk (misalnya es di kolam), untuk diisi; membengkak, menonjol; untuk menempatkan; menampar, memposting (tautan, dll. secara online), menjadi mahal, untuk terus mengawasi; untuk waspada, menjadi satu ubin lagi dari penyelesaian, untuk menjangkau; untuk menghasilkan ; melakukan"
"はんい";"han'i";"cakupan; bola; jangkauan; menjangkau ; Dokter zaman Edo bekerja di klinik umum ; semangat pemberontakan ; niat kriminal; kebencian"
"はんこう";"hankou";"berlawanan; perlawanan; pembangkangan; tantangan; permusuhan; pemberontakan ; kejahatan; tindak pidana; pelanggaran ; sirkulasi; distribusi; pengumuman ; serangan balasan ; penerbitan; pencetakan; penyegelan ; sekolah klan; sekolah han ; tuan feodal; daimyo"
"犯罪";"hanzai";"kejahatan; pelanggaran"
"判断";"handan";"pertimbangan; keputusan; kesimpulan; ajudikasi, ramalan, penghakiman"
"犯人";"hannin";"pelanggar; pidana; pelaku"
"はんばい";"hanbai";"penjualan; pemasaran"
"場";"ba ; jou";"tempat; titik; ruang, bidang; disiplin; bola; dunia, kesempatan; situasi, adegan (drama, film, dll.), sesi (pasar saham), bidang; meja; area di mana kartu diletakkan (dalam permainan kartu), putaran (timur, selatan, dll.), bidang, bidang ; tempat; titik; alasan; arena; stadion; jangkauan; kursus"
"ばいう";"baiu";"musim hujan (di Jepang biasanya dari awal Juni hingga pertengahan Juli), hujan selama musim hujan"
"ばか";"baka";"bodoh, masalah sepele; kebodohan; absurditas, bodoh; konyol; membosankan; absurd, penggemar semangat; kacang; orang yang sangat terobsesi dengan sesuatu, Mactra chinensis (spesies cangkang palung)"
"ばくだい";"bakudai";"luas; sangat besar; sangat luas; kacang kolosal, malva (Sterculia lychnophora)"
"ばくはつ";"bakuhatsu";"ledakan; letusan, letusan (ketidakpuasan, dll.); ledakan; pencurahan"
"ばっする";"bassuru";"untuk menghukum"
"ばったり";"battari";"dengan bentrokan; dengan bunyi gedebuk; dengan keras; dengan kegagalan; montok, tak terduga (bertemu seseorang), tiba-tiba (berakhir); tiba-tiba (berhenti)"
"場面";"bamen";"pemandangan; pengaturan; tempat (tempat terjadinya sesuatu); skenario; case, adegan (dalam film, putar); tembakan, keadaan pasar"
"番";"ban ; tsugai";"nomor (dalam satu seri), giliran(seseorang), jam tangan; penjaga; pengintai, peringkat; kedudukan; posisi, pertarungan; korek api, potongan (dalam koleksi) ; berpasangan (khususnya hewan yang dikawinkan); penjepit; pasangan, (anatomi) sendi"
