"会う";"au";"bertemu; untuk menghadapi; untuk melihat, mengalami kecelakaan; untuk mendapatkan pengalaman buruk"
"つく";"tsuku";"untuk mengambil (kursi, posisi, kursus, kantor, dll.); untuk mengasumsikan; Disewa; untuk dipekerjakan, untuk naik (takhta); untuk menyetujui, untuk memulai (dalam sebuah perjalanan); untuk memulai; berangkat, untuk belajar (di bawah bimbingan guru); untuk menjadi murid magang ; untuk sampai; untuk meraih, untuk duduk; untuk duduk (misalnya meja) ; untuk dinyalakan (misalnya listrik menyala); untuk dinyalakan, untuk terbakar ; menghembuskan nafas, mengatakan (berbohong); menggunakan (bahasa kotor), untuk muntah; untuk meludah ; untuk menusuk, menyodok; untuk mendorong; untuk menyenggol; untuk memukul; untuk menyerang, menggunakan (tongkat); untuk menopang diri sendiri; untuk menekan (lantai, dll.), menyerang, menantang (hujan, dll.) ; untuk dilampirkan; untuk dihubungkan dengan; untuk mematuhi; untuk tetap; untuk melekat, untuk tetap terpatri; untuk melukai; untuk menodai; mewarnai, menghasilkan (buah, bunga, dsb.), diperoleh (dari suatu kebiasaan, kemampuan, dsb.); untuk meningkatkan (kekuatan, dll.), mengakar, menemani; untuk menghadiri; mengikuti; untuk belajar dengan, berdampingan; menjadi milik, memiliki; untuk menghantui, untuk dinyalakan, untuk diselesaikan; untuk diputuskan, untuk diberikan (nama, harga, dll.), untuk dirasakan; untuk dianggap, beruntung, menjadi (suatu keadaan, kondisi, dll.) ; untuk mengupas (beras, jelai, dll.); untuk menumbuk (beras); untuk memoles (beras); untuk mencap (bijih) ; untuk dibenamkan, untuk diasamkan ; tepat ; menusuk, menonjol, mendorong, tumbukan, tiba-tiba ; genus, pejabat bawahan, milik, berafiliasi ; suara dentingan ; burung hantu bertanduk ; untuk memiliki; untuk menghantui"
"つくえ";"tsukue";"meja"
"つくる";"tsukuru";"untuk membuat; untuk menghasilkan; untuk membangun, menyiapkan (makanan); untuk menyeduh (alkohol), untuk meningkatkan; untuk tumbuh; untuk mengolah; untuk melatih, untuk sampai, menyusun (dokumen); untuk bermesraan; untuk mempersiapkan; menulis, menciptakan (karya seni, dsb.); untuk menulis, untuk koin (frasa); untuk mengatur; untuk membangun; menemukan, memiliki (anak), merias (wajah, dll.), membuat (alasan, dll.), memberikan penampilan (palsu); berpura-pura (tersenyum, dll.); untuk menunjukkan emosi, untuk membentuk (sebuah garis, dll.), untuk membuat (sebuah rekor), untuk melakukan (dosa, dll.)"
"つける";"tsukeru";"untuk merendam (dalam); untuk curam; untuk mencelupkan, untuk membuat acar; untuk mengawetkan (dalam garam, cuka, dll.) ; untuk melampirkan; bergabung; menambahkan; untuk menambahkan; untuk membubuhkan; untuk tetap; melekatkan; untuk mengencangkan; untuk menjahit; untuk mengoleskan (salep), untuk melengkapi (rumah dengan), untuk dipakai; untuk memakai, membuat buku harian; untuk membuat entri, untuk menilai; untuk menetapkan (harga), untuk membagikan; untuk menganggarkan; menugaskan, membawa serta, ke tempat (di bawah penjagaan atau dokter), untuk diikuti; untuk membayangi, untuk memuat; memberi (keberanian untuk), mengawasi (mengawasi), menjalin (hubungan atau pengertian), menyalakan (cahaya), menghasilkan bunga; untuk menghasilkan buah ; untuk menghidupkan; untuk menyala ; untuk memburu mata-mata; untuk membuntuti seseorang; menguntit ; untuk melantik (seorang raja, kaisar, dll.), untuk menunjuk (untuk suatu jabatan); untuk mempromosikan, untuk menugaskan (untuk belajar di bawah)"
"つとめる";"tsutomeru";"untuk berusaha (berusaha); untuk mencoba; untuk berusaha; untuk mengerahkan diri; untuk rajin; untuk berkomitmen (untuk melakukan sesuatu) ; bekerja untuk); untuk dipekerjakan (di); untuk melayani (dalam), untuk melayani (sebagai); untuk bertindak (sebagai); untuk mengisi (posisi); untuk memainkan peran (dari), untuk melakukan layanan keagamaan ; ketekunan, menjadi pekerja, mengabdi"
"つまらない";"tsumaranai";"membosankan; sepa, tidak penting; remeh; tidak berharga, tidak masuk akal; konyol; bodoh, tidak berguna; tak berarti; mengecewakan"
"つめたい";"tsumetai";"dingin (saat disentuh); dingin; beku, (secara emosional) dingin; Berhati dingin; tidak berperasaan; cuek; tidak ramah; jauh"
"つよい";"tsuyoi";"kuat; ampuh; kompeten; mendominasi; tangguh, kuat; berotot; sehat; kasar, bagus (at); terampil; berpengetahuan, mampu menangani; tahu bagaimana menghadapi (dengan); tahan lama (melawan); tahan terhadap); tangguh, teguh; kaku; padat, intens; kuat; garang; tinggi, dapat diandalkan; dapat dipercaya"
"手";"te";"tangan; lengan, kaki depan, pegangan, tangan; pekerja; bantuan, masalah; peduli; usaha, berarti; jalan; menipu; bergerak; teknik; pengerjaan, tangan; tulisan tangan, jenis; sortir, tangan seseorang; kepemilikan seseorang, kemampuan untuk mengatasi, tangan (kartu), arah, bergerak (dalam go, shogi, dll.)"
"てがみ";"tegami";"surat; surat resmi; catatan"
"天気";"tenki";"cuaca; elemen, cuaca cerah; cuaca bagus"
"出かける";"dekakeru";"untuk pergi keluar (misalnya bertamasya atau jalan-jalan); untuk pergi; untuk berangkat; untuk memulai, akan berangkat; untuk pergi keluar saja"
"できる";"dekiru";"untuk dapat (dalam posisi) melakukan; untuk menyelesaikan tugas, untuk siap; untuk diselesaikan, untuk dibuat; untuk dibangun, untuk menjadi ahli; diizinkan (melakukan), menjadi intim; untuk mengambil (dengan seseorang), untuk tumbuh; untuk dibesarkan, untuk hamil ; untuk keluar dari; untuk tidak punya lagi"
"でぐち";"deguchi";"KELUAR; gerbang; jalan keluar, saluran keluar; lubang angin; bocor"
"では";"deha";"Kemudian; Sehat; Jadi; baiklah, jika tidak...; kecuali..., sampai jumpa ; kesempatan untuk keluar; kesempatan (untuk sukses), musik pengiring bagi seorang aktor yang naik ke panggung"
"でも";"demo";"Tetapi; Namun; meskipun; namun demikian; tetap; belum; walaupun demikian; Juga, bahkan, namun; bagaimanapun caranya; bahkan jika; meskipun, ...atau sesuatu, baik...atau...; baik... maupun..., pseudo-; dukun; hanya dalam nama, karena tidak ada hal lain yang lebih baik untuk dilakukan"
"出る";"deru";"untuk pergi; untuk keluar, pergi (dalam perjalanan); untuk berangkat; untuk memulai, untuk bergerak maju, untuk mencapai; untuk sampai ke; untuk mengarah ke, muncul; untuk keluar; memunculkan; ke permukaan; untuk tampil; untuk muncul; untuk ditemukan; untuk dideteksi; untuk diekspos; memperlihatkan; untuk dipamerkan; untuk dipajang, muncul (dicetak); untuk diterbitkan; akan diumumkan; untuk dicantumkan; untuk keluar, untuk hadir; untuk berpartisipasi; untuk mengambil bagian; untuk memasuki (suatu acara); untuk bermain; untuk melakukan, untuk dinyatakan; untuk diungkapkan; untuk datang; untuk dibesarkan, untuk dijual, melebihi; untuk pergi, untuk menonjol; menonjol, keluar; terjadi; untuk memulai; berasal, diproduksi, berasal dari, untuk diberikan; mendapatkan; menerima; untuk ditawarkan; untuk disediakan; untuk dipresentasikan; untuk diserahkan; dibayar, untuk menjawab (telepon, pintu, dll.); untuk mendapatkan, berasumsi (suatu sikap); untuk beraksi; untuk berperilaku, menjemput (kecepatan, dll.); untuk mendapatkan, mengalir (misalnya air mata); untuk berlari; berdarah, lulus, ejakulasi; untuk cum"
"電気";"denki";"listrik, (listrik) lampu"
"電車";"densha";"kereta; kereta listrik"
"電話";"denwa";"panggilan telepon, telepon (perangkat)"
"と";"to";"jalan; rute ; di luar; bagian luar, tempat terbuka (udara), tempat lain; di tempat lain; di luar kelompok (keluarga, perusahaan, dll.) ; pintu (khususnya gaya Jepang), rana; penutup jendela, pintu masuk (ke rumah), menyempit ; ke; satuan volume tradisional, kira-kira. 18 liter, balok bantalan persegi (di bagian atas pilar), Rasi bintang "Dipper" Cina (salah satu dari 28 rumah besar) ; sepuluh; 10, usia sepuluh tahun, buku berisi kumpulan puisi ; jika; kapan, dan, dengan, digunakan untuk mengutip (pikiran, ucapan, dll.), pion yang dipromosikan, menunjukkan pertanyaan ; batu asahan; gerinda ; Turki ; pagar; dinding ; muntah, memuntahkan, batuk ; menyeberang; feri ; sudut ; kecebong ; pelapisan, penyepuhan ; orang ; berpesta; mengatur; gang; perusahaan; orang ; Metropolis (Tokyo); (Tokyo) Distrik Metropolitan; prefektur metropolitan, konter untuk kota besar dan kecil, ibu kota"
"十";"too ; juu ; shii";"sepuluh; 10, usia sepuluh tahun, buku berisi kumpulan puisi"
"とおい";"tooi";"jauh; menjauh; masih jauh; di kejauhan, jauh (masa lalu); jarak jauh (dalam waktu); berjauhan (dalam waktu), jauh (hubungan atau kekerabatan); tidak ada hubungannya (dengan seseorang), jauh (dari sesuatu yang lain dalam kualitas, derajat, dan sebagainya); tidak serupa; jauh, sulit (pendengaran), rabun jauh ; luas, penuh; mengisi; menyelesaikan"
"十日";"tooka";"tanggal 10 setiap bulan, 10 hari"
"ときどき";"tokidoki";"Kadang-kadang; kadang; dari waktu ke waktu; sekarang dan nanti; sesekali; pada interval, musiman; musim ini; sesuai (untuk musim atau acara)"
"とけい";"tokei";"jam; jam tangan; arloji ; perbudakan hukuman"
"ところ";"tokoro";"tempat; titik; pemandangan; lokasi, alamat, distrik; daerah; lokalitas, rumah, titik; aspek; samping; segi, bagian (dalam teks); bagian, ruang; kamar, benda; masalah, setelahnya; sebagai hasilnya, akan; di ambang, baru saja melakukan; sedang dalam proses melakukan; baru saja selesai; baru saja selesai melakukannya ; Dioscorea tokoro (spesies ubi liar), orang tua yang tinggal di pedesaan ; santai, tenteram, tempatnya"
"としょかん";"toshokan";"perpustakaan"
"とても";"totemo";"sangat, (tidak) sama sekali; dengan tidak bermaksud; hanya (tidak bisa) ; entah bagaimana, sangat, (kokuji)"
"となり";"tonari";"di sebelah; berdampingan; berdekatan, rumah sebelah; rumah tetangga; tetangga sebelah"
"とぶ";"tobu";"terbang; untuk melonjak, melompat; untuk melompat; ke musim semi; untuk mengikat, untuk memercik; untuk menyebar; untuk terbang (misalnya percikan api), untuk bergegas, melarikan diri; untuk lari; untuk melarikan diri, menghilang; untuk menghilang; memudar; untuk menipis, untuk memutuskan; untuk lepas; untuk jatuh; untuk meledakkan (sekring), untuk dikirim (atas perintah); terbang (dari rumor palsu, panggilan telepon, dll.), datang terbang (dari pukulan, tendangan, dll.), hilang (dari satu halaman, jahitan, dll.); untuk melewatkan; untuk melompat (misalnya percakapan) ; untuk terbang dengan cepat"
"とまる";"tomaru";"untuk berhenti (bergerak); berhenti, berhenti (melakukan, bekerja, disuplai); untuk berhenti; untuk dihentikan; untuk digantung, turun; untuk bertengger ; untuk menginap di (misalnya hotel), untuk berlabuh; untuk ditambatkan"
"ともだち";"tomodachi";"teman; pendamping"
"とり";"tori";"ayam (Gallus gallus domesticus); ayam kampung, daging ayam ; daging burung, burung (khususnya daging ayam); unggas ; memukau; pengambil; mengumpulkan; pengumpul; penghilang; penghapusan, pemain terakhir hari itu (biasanya pemain bintang); penampilan terakhir hari ini, pasangan aktif (misalnya dalam demonstrasi judo), awalan yang tegas atau formal ; Ayam (tanda kesepuluh dari zodiak Cina); Ayam; Burung, jam Ayam (sekitar pukul 18.00, 17.00-19.00, atau 18.00-20.00), barat, delapan bulan dalam kalender lunar ; di dalam hati"
"とりにく";"toriniku";"daging ayam, unggas; daging burung"
"とる";"toru";"untuk makan (misalnya makan siang); untuk dikonsumsi (misalnya vitamin) ; untuk mengambil (foto), untuk merekam (video, audio, dll.); untuk membuat (film) ; untuk mengambil; untuk meraih; untuk menangkap, melewati; ke tangan; memberi, mendapatkan; untuk memperoleh; untuk menang; menerima; untuk mendapatkan; untuk mengambil (misalnya liburan), untuk mengadopsi (metode, proposal, dll.); untuk mengambil (ukuran, sikap, dll.); untuk memilih, untuk menghapus; untuk menyingkirkan; untuk lepas landas, untuk mengambil; mencuri; untuk merampok, untuk makan; untuk makan (misalnya makan siang); untuk mengambil (misalnya vitamin), untuk memetik (misalnya bunga); berkumpul; untuk mengekstrak (misalnya jus); untuk menangkap (misalnya ikan), untuk mengambil (waktu, ruang); untuk menempati; untuk menyisihkan, untuk mengamankan; untuk memesan; untuk menyimpan; untuk mengesampingkan; untuk menjaga, untuk mengambil (misalnya lelucon); untuk menafsirkan; untuk mengerti; untuk bermesraan; untuk memahami, untuk mencatat; untuk menghapus, berlangganan (misalnya surat kabar); untuk mengambil; untuk membeli; untuk mendapatkan, memesan; telah mengirimkan, untuk dikenakan biaya; untuk baik-baik saja; untuk mengambil (pajak), untuk mengambil (misalnya seorang istri); untuk mengambil (misalnya magang); mengadopsi; menerima, untuk berkompetisi (dalam sumo, kartu, dll.); bermain ; untuk mengambil; untuk menangkap ; untuk mengadopsi (metode, proposal, dll); untuk mengambil (mengukur, tindakan, dll.); untuk memutuskan, untuk memetik (misalnya bunga); untuk mengumpulkan (misalnya jamur); untuk menangkap (misalnya serangga), untuk mengekstraksi (misalnya jus); untuk mengambil (misalnya sampel), mengasumsikan (suatu sikap), untuk mengambil (pekerja, siswa); untuk mempekerjakan; untuk menyewa, untuk menimba (misalnya air); untuk membiarkan masuk (misalnya cahaya dari jendela) ; untuk mengambil (masalah); untuk hadir (untuk bisnis); untuk memerintah (tentara) ; untuk memanen (panen) ; untuk menjadi"
"どう";"dou";"Bagaimana; dengan cara apa; bagaimana tentang ; gerakan ; sama; yang dikatakan, demikian pula ; kuil; kapel, aula, perusahaan, ruang depan ; belalai; batang tubuh; tubuh; perut; pinggang, plastron (dalam kendo); menyentuh plastron (kimari-te dalam kendo), bingkai (drum, dll.); kotak suara (dari shamisen, dll.); lambung kapal (kapal), dealer ; tembaga (Cu), perunggu (medali) ; jalan; jalur; rute, cara; serangkaian praktik; aturan berperilaku, Ajaran Buddha, Taoisme, wilayah administratif modern Jepang (Hokkaido), wilayah administratif sejarah Jepang (Tokaido, Tosando, dll.), provinsi (wilayah administratif era Tang di Tiongkok), provinsi (wilayah administratif modern Korea) ; dengan tepat; tepat; tegak lurus; sama sekali; sangat, sialan; bodoh; dikutuk ; whoa (perintah yang digunakan untuk menghentikan kuda, dll.) ; tombak Tiongkok bergagang panjang dengan bendera, spanduk kecil; gantung ; sinus; rongga; antrum, neighborhood (divisi administratif di Korea Utara) ; tenaga kerja; bekerja"
"どうして";"doushite";"Bagaimana; dengan cara apa, mengapa; untuk alasan apa; untuk tujuan apa; untuk apa, tidak mungkin, tidak mungkin"
"どうぞ";"douzo";"Tolong; baik; berdoa; Saya mohon (kepada Anda), dengan segala cara; tentu; Tentu saja; (teruskan; (merasa bebas untuk); (Anda) selamat datang (untuk); tolong (bantu diri Anda sendiri untuk), inilah Anda, untuk memberi"
"どうぶつ";"doubutsu";"satwa ; Taoisme dan Budha"
"どうも";"doumo";"Terima kasih, banyak (terima kasih); sangat menyesal); cukup (menyesal), cukup; Sungguh; kebanyakan, entah bagaimana, terlepas dari diri sendiri; berusaha sekuat tenaga; tidak peduli betapa kerasnya seseorang mencoba (untuk, tidak), salam; Halo; selamat tinggal"
"どこ";"doko";"Di mana; tempat apa, berapa (panjang, jauh); sejauh mana"
"どちら";"dochira";"jalan yang mana; arah mana; di mana, yang mana (khususnya dua alternatif), siapa"
"どっち";"docchi";"jalan yang mana; arah mana; di mana, yang mana (khususnya dua alternatif), siapa"
"どなた";"donata";"WHO"
"どの";"dono";"yang; apa (cara) ; Tn.; Nyonya.; Merindukan; MS."
"どようび";"doyoubi";"Sabtu"
"どれ";"dore";"yang mana (dari tiga atau lebih), baik; Sekarang; Ayo"
"長い";"nagai";"panjang (jarak, panjang), panjang (waktu); larut; berkepanjangan"
"なく";"naku";"menangis; melolong ; untuk mengeluarkan suara (dari binatang); memanggil; menangis; mengeluh; menyanyikan; berkicau, membuat panggilan meld (misalnya pung, kong)"
"なくす";"nakusu";"kehilangan (karena kematian) (misalnya istri, anak) ; kehilangan (sesuatu); untuk menyesatkan, untuk menyingkirkan; untuk menghilangkan; untuk menghapus"
"なぜ";"naze";"Mengapa; Bagaimana"
"なつ";"natsu";"musim panas"
"なつやすみ";"natsuyasumi";"liburan musim panas"
"など";"nado";"dan sebagainya; dll.; dan sejenisnya, atau sesuatu, seperti, misalnya; contohnya; untuk satu"
"七つ";"nanatsu";"tujuh, usia tujuh tahun, jam empat (sistem waktu lama)"
"七日";"nanoka ; nanuka";"tanggal 7 setiap bulan, 7 hari"
"名前";"namae";"nama, nama pemberian; nama depan"
"ならう";"narau";"untuk mengambil pelajaran; untuk diajarkan; untuk belajar (dari seorang guru); untuk belajar (di bawah bimbingan seorang guru); untuk mendapatkan pelatihan ; untuk meniru; mengikuti; untuk ditiru"
"ならぶ";"narabu";"berbaris; untuk berdiri dalam barisan, untuk menyaingi; untuk mencocokkan; untuk menyamakan ; pendamping ; berpasangan, himpunan, perbandingan, penghitung berpasangan"
"ならべる";"naraberu";"berbaris; untuk mengatur; untuk menyusun dalam satu baris, untuk menghitung; untuk memerinci, menjadi sama (ke); untuk membandingkan dengan baik (dengan); menjadi sebaik (sebagai)"
"なる";"naru";"untuk menjadi; mendapatkan; untuk tumbuh; berbalik; untuk mencapai, menghasilkan; untuk berubah; untuk berakhir; untuk membuktikan (menjadi), terdiri dari; untuk terdiri dari, untuk diselesaikan; untuk direalisasikan; untuk berhasil; untuk dicapai, untuk berubah (menjadi); untuk mengubah (menjadi); untuk mengubah, untuk datang (melakukan); untuk memulai (melakukan); untuk tumbuh (melakukan), untuk mencapai; berjumlah; untuk menambahkan hingga; untuk membuat, memainkan (bagian dari); untuk bertindak sebagai, untuk digunakan; agar berguna untuk; untuk melayani sebagai, untuk dipromosikan, untuk melakukan... ; untuk menyuarakan; untuk menelepon; untuk bergema; mengaum; bergemuruh ; untuk menghasilkan buah ; itu ada pada, siapa yang dipanggil; itu disebut, itu, begitu"
"何";"nan ; nani";"apa, berapa, banyak, beberapa ; apa, kamu-tahu-apa; benda itu, apa; apachamacallit; siapa namanya; siapa-namanya, (tidak) sama sekali; (tidak) sedikit pun, apa?; ya?, hei!, oh, tidak (tidak apa-apa); mengapa (bukan apa-apa); oh (tentu saja tidak)"
"二";"ni ; futa ; fuu ; aru ; aaru";"dua; 2"
"にぎやか";"nigiyaka";"ramai; sibuk; penuh sesak; hidup; makmur; berkembang, hidup (pesta, suara, dll.); keras; bising; ceria"
"にく";"niku";"daging, daging, daging (dari buah); daging buah, tubuh fisik (sebagai lawan dari roh); daging, ketebalan, isi; zat; daging, bantalan tinta ; delapan belas"
"西";"nishi ; sei ; shaa";"Barat ; Spanyol, Spanyol (bahasa) ; ubin angin barat, tangan pemenang dengan pung (atau kong) ubin angin barat"
"にちようび";"nichiyoubi";"Minggu"
"にもつ";"nimotsu";"bagasi; paket, beban, muatan (paket, sel, dll.)"
"にわ";"niwa";"kebun; halaman, lapangan (aksi); daerah ; pengadilan ; kebun, ladang yang ditanami"
"人";"nin ; jin ; hito";"counter untuk orang-orang ; -ian (mis. Italia); -ite (mis. Tokyoite), -er (mis. pemain, dll.); orang yang bekerja dengan..., man; orang; rakyat ; orang; seseorang, manusia; umat manusia; rakyat, manusia (Homo sapiens), orang (lainnya); orang lain, karakter; kepribadian; sifat, orang yang cakap; orang yang kompeten; orang yang cocok; orang yang tepat, dewasa, saya; satu"
"ぬぐ";"nugu";"melepas (pakaian, sepatu, dll.); untuk menanggalkan pakaian"
"ぬるい";"nurui";"suam-suam kuku; hangat, lunak, lambat; bodoh"
"ねこ";"neko";"kucing (khususnya kucing domestik, Felis catus), shamisen, geisha, gerobak dorong, penghangat tempat tidur tanah liat, bawah; pasangan yang patuh dalam hubungan homoseksual"
"ねる";"neru";"untuk tidur (berbaring), pergi tidur; berbaring di tempat tidur, berbaring, tidur (dengan seseorang, misalnya berhubungan intim), berbaring (misalnya dengan rambut), berbaring menganggur (dana, stok, dll.), berfermentasi (dengan kecap, miso, dll.) ; untuk menguleni; untuk mengentalkan menjadi pasta (mengaduk di atas api), untuk memoles (rencana, dll.); untuk menyempurnakan; untuk menguraikan; untuk berolahraga, untuk melatih; menggali; untuk berolahraga, untuk mengilap (sutra); membuat empuk; untuk menghilangkan permen karet, mencokelatkan (kulit), menempa (baja), berjalan dalam prosesi; untuk berparade; untuk berbaris ; untuk marah (baja) ; mencium logam, menempa; menyaring"
"年";"nen ; toshi ; tose";"tahun, penghitung tahun (misalnya suatu era), nilai (misalnya sekolah), masa kontrak magang (biasanya sepuluh tahun) ; tahun, usia; tahun, melewati masa puncaknya; usia tua ; penghitung selama bertahun-tahun (mengikuti angka dalam sistem penghitungan hito-futa-mi)"
"のぼる";"noboru";"untuk naik; naik; untuk mendaki, naik (sebagai proses alami, misalnya Matahari); naik, pergi ke (ibu kota), promosi, menjumlahkan, menaikkan (harga), berenang (sungai); untuk berlayar, untuk muncul (dalam agenda)"
"のみもの";"nomimono";"minum; minuman"
"飲む";"nomu";"untuk minum; untuk menelan; menelan; meminum (obat), merokok (tembakau), menelan; untuk membanjiri, untuk menahan; untuk menekan, menerima (misalnya permintaan, kondisi), untuk meremehkan; untuk merahasiakan"
"のる";"noru";"untuk ditempatkan; untuk dinyalakan; untuk ditumpuk; untuk dimuat, muncul (dicetak); untuk disebutkan; untuk dicatat; untuk dilaporkan; untuk diberikan ; untuk naik (kereta api, pesawat, bus, kapal laut, dll.); masuk; untuk naik; untuk mengambil; untuk memulai, untuk melanjutkan (misalnya tumpuan kaki); untuk melangkah; untuk melompat; untuk duduk; untuk memasang, untuk mencapai; untuk pergi; untuk lulus, mengikuti; untuk tetap (di jalur); mengikuti (waktu, dll.), untuk mengambil bagian; untuk berpartisipasi; untuk bergabung, untuk ikut berayun (dan bernyanyi, menari, dll.), untuk ditipu; untuk dibawa masuk, untuk dibawa; untuk disebarkan; untuk tersebar, menempel; untuk melampirkan; untuk mengambil; untuk melanjutkan"
"は";"ha";"bulu; bulu-bulu; bawah, sayap, bilah (kipas, baling-baling, dll.), shuttlecock (dalam bulu tangkis), shuttlecock (dalam hanetsuki), bulu panah ; gigi ; ujung (dari pisau atau pedang), cabang (dari colokan listrik) ; klik; kelompok, (politik) faksi; sayap; berpesta; kamp, sekolah, sekte; denominasi ; daun; bilah (dari rumput); (pinus) jarum ; menunjukkan topik kalimat, menunjukkan kontras dengan opsi lain (dinyatakan atau tidak), menambahkan penekanan ; Ya; Memang; baiklah, ha!, apa?; ya?, menghela nafas ; benda besar berbentuk kipas yang dipegang oleh seorang pelayan dan digunakan untuk menyembunyikan wajah seorang bangsawan, dll. ; (dalam gagaku atau noh) bagian tengah sebuah lagu ; supremasi (atas suatu bangsa); hegemoni; dominasi; kepemimpinan, kejuaraan; kemenangan ; counter untuk gelombang (kejadian berulang) ; bersandar pada satu sisi; sangat, lebih tepatnya ; menggaruk, merangkak ; kaca ; menampi, kipas angin ; bunga, kelopak"
"はい";"hai";"abu ; paru-paru ; kehilangan; kekalahan, penghitung kerugian ; cangkir sake; cangkir untuk minuman beralkohol, konter untuk cangkir penuh, semangkuk penuh, sesendok, dll., konter untuk perahu, konter untuk gurita dan cumi, cangkir (dalam olahraga); kejuaraan ; embrio; kuman (misalnya bibit gandum) ; kelompok; gang ; Ya; itu benar, dimengerti; Jadi begitu; OKE, sekarang; di sini, maaf?; apa itu?; datang lagi?, sekarang; Di Sini; ini dia, pusing; gidap ; akar teratai ; medali; tameng; lencana, kartu dengan tulisan dharani (dll.), papan pengumuman (di kuil Zen), ubin (mahjong, domino, dll.) ; anti- ; cocok, berpasangan; setara; mencampur ; aktor; pertunjukan vaudeville; bermuka dua ; membatalkan, mengakhiri, membuang ; memberi hormat, membungkuk, bersujud ; berjalan-jalan ; dorong terbuka ; bendera ; hujan lebat, rawa ; suara ombak ; untaian banyak mutiara ; penyakit kronis, menjadi lumpuh ; jenis sabuk oriental kuno, penghitung untuk pedang ; ikan kecil; lebih bersinar ; menundukkan kepala (dalam penghormatan atau ibadah), dengan hormat"
"はいざら";"haizara";"asbak"
"はがき";"hagaki";"kartu pos, memo; catatan; kartu"
"はく";"haku";"memuntahkan; untuk muntah; meludah, memancarkan; untuk mengirimkan; menghembuskan nafas, memberikan (pendapat); untuk membuat (komentar); untuk mengekspresikan; untuk memberitahu, untuk mengaku ; menyapu; untuk menyikat; untuk membersihkan, mengumpulkan ulat sutera ; dokter; PhD, eksposisi; adil; pameran ; untuk mengenakan (pakaian tubuh bagian bawah, misalnya celana, rok, alas kaki); memakai, membubuhkan (pedang di pinggul), membubuhkan (tali busur ke busur) ; konter untuk malam menginap, menginap; penginapan ; menggagalkan; (emas, dll.) daun, prestise ; energi Yin; roh ; kalahkan, mora ; sutra ; ikan belanak belang putih, (Mugil cephalus), ucapan; garis seseorang, ubin naga putih, tangan pemenang dengan pung (atau kong) ubin naga putih, orang berkulit putih; Kaukasia, Belgia ; untuk memulaskan; untuk menyikat; untuk menyentuh ; amber ; ibu kota Tiongkok kuno ; untuk mengupas, menguliti; untuk mengeksploitasi ; merebut, menyerang ; lengan ; menghitung; earl, kepala pejabat Departemen Ibadah, kakak tertua, Brasil; Brazil ; ratus; 100"
"はこ";"hako";"kotak; kasus; dada; kemasan; peti, gerbong (kereta api, dll.), kotak shamisen, gedung umum; pembangun komunitas, pria yang membawa shamisen geisha, wadah untuk kotoran manusia; feses (tinja), penghitung untuk kotak (atau benda dalam kotak) ; keranjang bambu kecil untuk dipegang ; untuk menyembunyikan, untuk mengeluarkan, untuk menekan, untuk membungkuk ; keranjang nasi bambu"
"はし";"hashi";"menjembatani ; sumpit ; paruh; tagihan ; ujung (misalnya jalan); tip; titik; tepian; margin, awal; pertama, peluang dan akhir; membatalkan; sedikit aneh; paling sedikit ; tangga, tangga di depan panggung noh ; cantik; kesayangan; manis; menggemaskan ; terspesialisasi, terkonsentrasi"
"はしる";"hashiru";"berlari, menjalankan (kendaraan); mengemudi; Bepergian; untuk bergerak; berlayar, terburu-buru (ke); untuk berlari; untuk berlomba, untuk mundur; melarikan diri; membelot (ke), melarikan diri; untuk melarikan diri; kawin lari, menyala (petir); untuk melesat; untuk menembak (melalui; misalnya rasa sakit); untuk menjalankan (melalui); menyala; untuk melayang (misalnya melintasi wajah seseorang); untuk menyebar dengan cepat (berita, kejutan, dll.), menyebar (misalnya buruk, ekstrem); untuk menjadi; berbalik; untuk mengambil (misalnya kejahatan); untuk terbawa oleh (misalnya emosi seseorang); untuk terlibat dalam, berlari (melalui; jalan raya, jalan raya, dll.); untuk memperluas (misalnya pegunungan); untuk meregangkan; berbohong"
"はじまる";"hajimaru";"memulai; untuk memulai, terjadi (lagi); untuk memulai (baru), sampai saat ini (dari); untuk berasal (dalam)"
"はじめ";"hajime";"awal; pembukaan, pertama (sejajar, dll.), asal, seperti...; apalagi... ; memulai"
"はじめて";"hajimete";"untuk pertama kalinya, hanya setelah... apakah...; hanya ketika... apakah kamu...; tidak sampai... apakah kamu..., pertama kali; (seseorang) terlebih dahulu"
"はたち";"hatachi";"20 tahun, dua puluh ; tanah pertanian"
"はたらく";"hataraku";"bekerja; untuk bekerja, untuk berfungsi; mengoperasikan; menjadi efektif; untuk bekerja (yaitu... bekerja); untuk ikut bermain, melakukan (misalnya kejahatan); untuk melakukan; melakukan; untuk beraksi; untuk berlatih, untuk dikonjugasikan"
"八";"hachi ; ya ; paa";"delapan; 8"
"二十日";"hatsuka ; nijuunichi";"tanggal 20 setiap bulan, 20 hari"
"花";"hana";"bunga; mekar; kelopak, bunga sakura, kecantikan, mekar (khususnya bunga sakura), ikebana, hanafuda, (yang) terbaik, mulia; cantik"
"はな";"hana";"bunga; mekar; kelopak, bunga sakura, kecantikan, mekar (khususnya bunga sakura), ikebana, hanafuda, (yang) terbaik, mulia; cantik ; hidung ; ujung (misalnya jalan); tip; titik; tepian; margin, awal; pertama, peluang dan akhir; membatalkan; sedikit aneh; paling sedikit ; pisang raja atau pisang palem; harum ; bunga, kelopak ; ingus; lendir hidung"
